,college,State,City,Is Open Admission,Has Data,Average GPA,GPA Standard Deviation,Acceptance Rate,SAT Reading 25th,SAT Math 25th,SAT Composite 25th,SAT Reading 75th,SAT Math 75th,SAT Composite 75th,Average SAT Score,1st Rank SAT,2nd Rank SAT,3rd Rank SAT,4th Rank SAT,5th Rank SAT,ACT Reading SAT25th,ACT Math 25th,ACT Composite 25th,ACT Reading 75th,ACT Math 75th,ACT Composite 75th,Average ACT Score,1st Rank ACT,2nd Rank ACT,3rd Rank ACT,4th Rank ACT,5th Rank ACT,Average Class Rank,Class Rank Standard Deviation,1st Rank SAT Level,2nd Rank SAT Level,3rd Rank SAT Level,4th Rank SAT Level,1st Rank ACT Level,2nd Rank ACT Level,3rd Rank ACT Level,4th Rank ACT Level,Test Scores,High School GPA,High School Class Rank,Completion of College Preparatory Program,Recommendations,Demonstration of Competencies,AP Credit,Dual Credit,Credit for Life Experiences
1869,University of New England,Maine,Biddeford,False,True,3.306,0.47000000000000003,84.4,520,520,1040,620,610,1230,1140,90,84,76,64,64,20,19,21,26,26,27,24,90,84,76,64,64,62.5464698854124,12.828607280943192,1230,1135,1040,945,27,24,21,18,Considered but not required,Required,Neither required nor recommended,Neither required nor recommended,Recommended,Neither required nor recommended,Yes,Yes,Yes
1870,University of New Hampshire-Main Campus,New Hampshire,Durham,False,True,3.5460000000000003,0.624,84,540,530,1070,640,630,1270,1170,90,84,76,64,64,21,21,22,28,27,28,25,90,84,76,64,64,73.261,0.489,1270,1170,1070,970,28,25,22,19,Considered but not required,Required,Neither required nor recommended,Required,Required,Neither required nor recommended,Yes,No,No
1871,University of New Haven,Connecticut,West Haven,False,True,3.368,0.582,83,520,510,1030,620,600,1220,1130,89,83,74,63,63,20,19,21,26,26,27,24,89,83,74,63,63,64.24497054970007,12.763165697072203,1220,1125,1030,935,27,24,21,18,Considered but not required,Required,Recommended,Recommended,Required,Neither required nor recommended,Yes,Yes,No
1872,University of New Mexico-Gallup Campus,New Mexico,Gallup,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.24497054970007,12.763165697072203,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1873,University of New Mexico-Los Alamos Campus,New Mexico,Los Alamos,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.24497054970007,12.763165697072203,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1874,University of New Mexico-Main Campus,New Mexico,Albuquerque,False,True,3.37,0.516,94.3,470,500,970,640,650,1290,1130,96,94,90,84,84,17,17,19,24,24,25,22,96,94,90,84,84,66.1153873663842,13.330593688646225,1290,1130,970,810,25,22,19,16,Required,Required,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
1875,University of New Mexico-Taos Campus,New Mexico,Ranchos de Taos,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.1153873663842,13.330593688646225,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1876,University of New Mexico-Valencia County Campus,New Mexico,Los Lunas,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.1153873663842,13.330593688646225,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1877,University of New Orleans,Louisiana,New Orleans,False,True,3.27,0.592,55.5,515,500,1015,630,610,1240,1130,68,56,43,31,31,20,18,20,27,24,25,22,71,56,45,35,35,65.112,0.5640000000000001,1240,1127,1015,903,25,22,20,18,Required,Required,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Recommended,Yes,Yes,No
1878,University of North Alabama,Alabama,Florence,False,True,3.205,0.524,88.8,520,495,1015,610,570,1180,1100,93,89,83,74,74,20,17,20,27,24,26,23,93,89,83,74,74,66.42413117520579,11.055462391675768,1180,1097,1015,933,26,23,20,17,Required,Required,Recommended,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
1879,University of North Carolina at Asheville,North Carolina,Asheville,False,True,3.7439999999999998,0.466,84,560,530,1090,650,620,1270,1180,90,84,76,64,64,21,19,22,28,26,27,24,91,84,77,69,69,74.544,0.499,1270,1180,1090,1000,27,24,22,20,Required,Required,Required,Required,Required,Neither required nor recommended,Yes,Yes,No
1880,University of North Carolina at Chapel Hill,North Carolina,Chapel Hill,False,True,3.855,0.467,22.6,650,660,1310,730,770,1500,1410,34,23,15,9,9,28,26,28,35,32,33,30,36,23,16,11,11,89.963,0.549,1500,1405,1310,1215,33,30,28,26,Required,Required,Recommended,Required,Required,Neither required nor recommended,Yes,Yes,No
1881,University of North Carolina at Charlotte,North Carolina,Charlotte,False,True,3.672,0.5740000000000001,65,560,560,1120,640,650,1290,1210,76,65,52,39,39,20,22,22,26,27,26,24,76,65,52,39,39,71.867,0.561,1290,1205,1120,1035,26,24,22,20,Required,Required,Recommended,Required,Considered but not required,Neither required nor recommended,Yes,Yes,No
1882,University of North Carolina at Greensboro,North Carolina,Greensboro,False,True,3.6109999999999998,0.5680000000000001,82.5,510,500,1010,600,580,1180,1100,89,82,73,61,61,19,18,20,24,25,25,22,90,82,75,66,66,70.145,0.509,1180,1095,1010,925,25,22,20,18,Required,Required,Recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
1883,University of North Carolina at Pembroke,North Carolina,Pembroke,False,True,3.342,0.503,84.9,470,460,930,550,530,1080,1010,91,85,77,66,66,15,16,17,21,22,21,19,91,85,77,66,66,63.631,0.508,1080,1005,930,855,21,19,17,15,Required,Required,Recommended,Required,Recommended,Neither required nor recommended,Yes,Yes,No
1884,University of North Carolina School of the Arts,North Carolina,Winston-Salem,False,True,3.586,0.536,28.9,570,520,1090,670,620,1290,1190,41,29,19,12,12,22,19,21,31,26,29,25,41,29,19,12,12,68.18,0.406,1290,1190,1090,990,29,25,21,17,Required,Required,Recommended,Recommended,Required,Required,Yes,Yes,No
1885,University of North Dakota,North Dakota,Grand Forks,False,True,N/A,0.58,81.1,500,510,1010,620,630,1250,1130,88,81,71,60,60,19,20,20,25,27,26,23,88,81,71,60,60,65.2498691076367,11.723162850553281,1250,1130,1010,890,26,23,20,17,Required,Required,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
1886,University of North Florida,Florida,Jacksonville,False,True,3.6310000000000002,0.58,72.3,560,530,1090,640,620,1260,1180,81,72,60,47,47,19,17,20,25,24,25,22,83,72,63,52,52,73.091,0.497,1260,1175,1090,1005,25,22,20,18,Required,Required,Recommended,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
1887,University of North Texas,Texas,Denton,False,True,3.465,0.542,73.6,540,520,1060,630,620,1250,1160,83,74,63,50,50,20,19,21,27,26,27,24,83,74,63,50,50,73.835,0.592,1250,1155,1060,965,27,24,21,18,Required,Recommended,Required,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
1888,University of Northern Colorado,Colorado,Greeley,False,True,3.327,0.481,90.8,490,480,970,610,590,1200,1090,95,91,86,78,78,18,17,19,26,25,26,22,95,91,87,80,80,64.143,0.417,1200,1085,970,855,26,22,19,16,Required,Required,Recommended,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
1889,University of Northern Iowa,Iowa,Cedar Falls,False,True,3.496,0.402,79,480,500,980,631,610,1241,1110,87,79,69,57,57,19,18,20,25,26,26,23,86,79,69,57,57,68.141,0.557,1241,1110,980,850,26,23,20,17,Required,Required,Required,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
1890,University of Northwestern Ohio,Ohio,Lima,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.141,0.557,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1891,University of Notre Dame,Indiana,Notre Dame,False,True,3.912,0.5630000000000001,15.8,680,720,1400,760,790,1550,1480,24,16,10,6,6,N/A,N/A,32,N/A,N/A,35,33,28,16,12,9,9,93.285,0.559,1550,1475,1400,1325,35,33,32,31,Required,Recommended,Recommended,Recommended,Required,Neither required nor recommended,Yes,No,No
1892,University of Oklahoma-Norman Campus,Oklahoma,Norman,False,True,3.584,0.506,80.4,560,550,1110,650,660,1310,1210,87,80,70,58,58,22,22,23,30,27,29,26,87,80,70,58,58,78.112,0.438,1310,1210,1110,1010,29,26,23,20,Required,Required,Considered but not required,Recommended,Recommended,Recommended,Yes,Yes,Yes
1893,University of Oregon,Oregon,Eugene,False,True,3.566,0.464,81.8,560,540,1100,660,650,1310,1210,89,82,73,61,61,21,20,22,27,27,28,25,89,82,73,61,61,76.171,0.5760000000000001,1310,1205,1100,995,28,25,22,19,Required,Required,Recommended,Required,Considered but not required,Neither required nor recommended,Yes,Yes,No
1894,University of Pennsylvania,Pennsylvania,Philadelphia,False,True,3.83,0.466,7.7,700,750,1450,760,800,1560,1510,13,8,5,3,3,34,32,33,36,35,35,34,13,8,5,3,3,92.641,0.5710000000000001,1560,1505,1450,1395,35,34,33,32,Required,Required,Neither required nor recommended,Recommended,Required,Neither required nor recommended,Yes,No,No
1895,University of Pikeville,Kentucky,Pikeville,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.641,0.5710000000000001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1896,University of Pittsburgh-Bradford,Pennsylvania,Bradford,False,True,3.242,0.544,72.9,490,480,970,590,570,1160,1070,82,73,61,48,48,16,17,17,23,22,25,21,82,73,61,48,48,58.207,0.401,1160,1065,970,875,25,21,17,13,Required,Required,Recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,Yes
1897,University of Pittsburgh-Greensburg,Pennsylvania,Greensburg,False,True,3.458,0.534,83.8,510,500,1010,600,590,1190,1100,90,84,76,64,64,18,18,20,24,24,25,22,91,84,77,69,69,67.352,0.481,1190,1100,1010,920,25,22,20,18,Required,Required,Recommended,Required,Recommended,Neither required nor recommended,Yes,Yes,No
1898,University of Pittsburgh-Johnstown,Pennsylvania,Johnstown,False,True,3.47,0.487,78.5,510,510,1020,610,610,1220,1120,86,79,69,57,57,18,18,19,23,25,24,21,88,79,71,62,62,65.406,0.495,1220,1120,1020,920,24,21,19,17,Required,Required,Required,Recommended,Recommended,Neither required nor recommended,Yes,Yes,No
1899,University of Pittsburgh-Pittsburgh Campus,Pennsylvania,Pittsburgh,False,True,3.767,0.443,56.7,630,630,1260,700,740,1440,1350,69,57,44,31,31,27,26,28,34,31,33,30,71,57,46,36,36,85.999,0.47900000000000004,1440,1350,1260,1170,33,30,28,26,Required,Recommended,Considered but not required,Required,Considered but not required,Neither required nor recommended,Yes,Yes,No
1900,University of Portland,Oregon,Portland,False,True,3.6189999999999998,0.497,76.7,580,570,1150,670,680,1350,1250,85,77,66,54,54,23,23,23,31,28,29,26,85,77,66,54,54,79.868,0.41200000000000003,1350,1250,1150,1050,29,26,23,20,Required,Required,Recommended,Required,Required,Neither required nor recommended,Yes,Yes,No
1901,University of Redlands,California,Redlands,False,True,3.529,0.492,76.4,540,530,1070,640,630,1270,1170,84,76,65,52,52,22,20,23,29,26,28,25,86,76,67,58,58,77.493,0.419,1270,1170,1070,970,28,25,23,21,Required,Required,Considered but not required,Considered but not required,Required,Neither required nor recommended,Yes,Yes,No
1902,University of Rhode Island,Rhode Island,Kingston,False,True,3.333,0.48,74.8,530,520,1050,620,620,1240,1150,84,75,64,51,51,22,22,23,28,27,28,25,85,75,66,56,56,69.279,0.522,1240,1145,1050,955,28,25,23,21,Required,Required,Considered but not required,Required,Required,Recommended,Yes,Yes,No
1903,University of Richmond,Virginia,University of Richmond,False,True,3.792,0.6000000000000001,28.3,640,650,1290,710,750,1460,1380,40,28,19,12,12,N/A,N/A,30,N/A,N/A,33,31,44,28,21,16,16,87.667,0.5700000000000001,1460,1375,1290,1205,33,31,30,29,Required,Required,Recommended,Recommended,Required,Neither required nor recommended,Yes,Yes,No
1904,University of Rio Grande,Ohio,Rio Grande,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.667,0.5700000000000001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1905,University of Rochester,New York,Rochester,False,True,3.691,0.597,29.7,640,670,1310,720,780,1500,1410,42,30,20,13,13,30,27,30,35,33,34,32,42,30,20,13,13,92.466,0.521,1500,1405,1310,1215,34,32,30,28,Considered but not required,Considered but not required,Considered but not required,Required,Required,Considered but not required,Yes,No,No
1906,University of Saint Francis-Fort Wayne,Indiana,Fort Wayne,False,True,3.27,0.5,96.2,478,470,948,590,580,1170,1060,98,96,93,89,89,16,17,18,24,25,25,21,98,96,94,91,91,65.47,0.41600000000000004,1170,1059,948,837,25,21,18,15,Required,Required,Recommended,Recommended,Recommended,Recommended,Yes,Yes,Yes
1907,University of Saint Mary,Kansas,Leavenworth,False,True,3.325,0.495,84,490,470,960,590,540,1130,1050,90,84,76,64,64,17,17,18,24,24,23,20,91,84,77,69,69,46.478,0.468,1130,1045,960,875,23,20,18,16,Required,Required,Recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,Yes
1908,University of San Diego,California,San Diego,False,True,3.7359999999999998,0.537,48.7,600,590,1190,680,690,1370,1280,62,49,36,25,25,26,24,26,33,29,31,28,64,49,39,29,29,85.187,0.432,1370,1280,1190,1100,31,28,26,24,Required,Required,Recommended,Required,Required,Neither required nor recommended,Yes,Yes,No
1909,University of San Francisco,California,San Francisco,False,True,3.5869999999999997,0.48,64.4,570,560,1130,660,670,1330,1230,75,64,51,38,38,23,22,23,32,28,29,26,75,64,51,38,38,79.717,0.5730000000000001,1330,1230,1130,1030,29,26,23,20,Considered but not required,Required,Neither required nor recommended,Required,Required,Neither required nor recommended,Yes,Yes,Yes
1910,University of Science and Arts of Oklahoma,Oklahoma,Chickasha,False,True,3.443,0.589,64.5,395,420,815,500,510,1010,910,75,64,51,38,38,16,18,19,22,25,24,21,77,64,54,43,43,65.107,0.516,1010,912,815,718,24,21,19,17,Required,Required,Required,Recommended,Recommended,Neither required nor recommended,Yes,Yes,No
1911,University of Scranton,Pennsylvania,Scranton,False,True,3.373,0.464,76.3,570,550,1120,650,660,1310,1220,84,76,65,52,52,N/A,N/A,24,N/A,N/A,29,26,86,76,67,58,58,73.88,0.441,1310,1215,1120,1025,29,26,24,22,Required,Required,Required,Recommended,Required,Neither required nor recommended,Yes,Yes,Yes
1912,University of Sioux Falls,South Dakota,Sioux Falls,False,True,3.312,0.5680000000000001,91.4,500,570,1070,610,620,1230,1150,95,91,86,78,78,19,20,20,24,25,25,22,95,91,87,81,81,62.636420428449355,12.909787901418344,1230,1150,1070,990,25,22,20,18,Required,Required,Neither required nor recommended,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
1913,University of South Alabama,Alabama,Mobile,False,True,3.412,0.40900000000000003,78.7,520,510,1030,620,600,1220,1130,86,79,69,57,57,21,18,20,29,26,27,23,87,79,70,60,60,62.86611256835723,10.445450302177996,1220,1125,1030,935,27,23,20,17,Required,Required,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
1914,University of South Carolina Aiken,South Carolina,Aiken,False,True,3.5,0.547,55.7,490,470,960,590,550,1140,1050,68,56,43,31,31,16,16,17,23,22,23,20,68,56,43,31,31,63.929,0.5630000000000001,1140,1050,960,870,23,20,17,14,Required,Required,Required,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
1915,University of South Carolina Beaufort,South Carolina,Bluffton,False,True,3.295,0.398,62.8,470,460,930,570,530,1100,1020,74,63,50,37,37,15,16,17,22,20,22,19,76,63,53,42,42,58.374,0.5720000000000001,1100,1015,930,845,22,19,17,15,Required,Required,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
1916,University of South Carolina-Columbia,South Carolina,Columbia,False,True,3.808,0.588,68.6,600,580,1180,680,690,1370,1280,79,69,57,44,44,24,24,25,33,29,31,28,79,69,57,44,44,78.76,0.461,1370,1275,1180,1085,31,28,25,22,Required,Required,Recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
1917,University of South Carolina-Lancaster,South Carolina,Lancaster,False,True,N/A,0.588,82.1,460,450,910,560,540,1100,1010,89,82,73,61,61,13,15,15,19,20,20,17,90,82,75,66,66,65.26521274619842,10.95379248146062,1100,1005,910,815,20,17,15,13,Required,Required,Recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
1918,University of South Carolina-Salkehatchie,South Carolina,Allendale,False,True,N/A,0.641,73.2,420,390,810,530,500,1030,920,82,73,61,48,48,11,14,14,17,17,17,15,85,73,65,57,57,66.80062255088234,10.297512290372675,1030,920,810,700,17,15,14,13,Required,Required,Recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
1919,University of South Carolina-Sumter,South Carolina,Sumter,False,True,N/A,0.626,82,470,450,920,570,540,1110,1020,89,82,73,61,61,14,15,15,19,19,20,17,90,82,75,66,66,65.67181580309091,13.55421887390914,1110,1015,920,825,20,17,15,13,Required,Required,Recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
1920,University of South Carolina-Union,South Carolina,Union,False,True,N/A,0.636,91.7,400,365,765,480,490,970,870,95,92,87,80,80,12,15,14,16,16,17,15,96,92,89,85,85,64.6693677240907,12.852789510431851,970,867,765,663,17,15,14,13,Required,Required,Recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
1921,University of South Carolina-Upstate,South Carolina,Spartanburg,False,True,3.563,0.47300000000000003,58.1,470,450,920,570,540,1110,1020,70,58,45,32,32,16,16,17,22,21,22,19,72,58,47,37,37,67.077,0.595,1110,1015,920,825,22,19,17,15,Required,Recommended,Recommended,Required,Recommended,Neither required nor recommended<,Yes,Yes,No
1922,University of South Dakota,South Dakota,Vermillion,False,True,3.403,0.539,86.4,500,490,990,600,580,1180,1090,91,86,78,68,68,18,18,19,25,25,25,22,91,86,78,68,68,65.804,0.522,1180,1085,990,895,25,22,19,16,Required,Required,Required,Required,Considered but not required,Neither required nor recommended,Yes,Yes,Yes
1923,University of Southern California,California,Los Angeles,False,True,3.702,0.591,11.4,670,690,1360,740,790,1530,1450,17,11,7,4,4,32,28,31,35,34,34,32,20,11,8,6,6,62.08009071804568,11.719472216224307,1530,1445,1360,1275,34,32,31,30,Required,Required,Neither required nor recommended,Required,Required,Required,Yes,No,No
1924,University of Southern Indiana,Indiana,Evansville,False,True,3.262,0.553,93.3,490,490,980,590,580,1170,1080,96,93,89,82,82,18,19,19,25,25,25,22,96,93,89,82,82,62.192,0.446,1170,1075,980,885,25,22,19,16,Required,Recommended,Recommended,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
1925,University of Southern Maine,Maine,Portland,False,True,3.147,0.439,80.9,480,470,950,590,570,1160,1060,88,81,71,60,60,19,18,20,24,25,25,22,89,81,74,65,65,62.44,0.433,1160,1055,950,845,25,22,20,18,Required,Neither required nor recommended,Recommended,Recommended,Required,Neither required nor recommended,Yes,Yes,Yes
1926,University of St Francis,Illinois,Joliet,False,True,3.446,0.582,45.6,520,510,1030,600,620,1220,1130,59,46,33,23,23,20,18,20,29,26,27,23,61,46,35,26,26,68.954,0.423,1220,1125,1030,935,27,23,20,17,Required,Required,Neither required nor recommended,Required,Recommended,Neither required nor recommended,Yes,Yes,Yes
1927,University of St Thomas,Minnesota,Saint Paul,False,True,3.524,0.592,80.5,570,590,1160,660,690,1350,1260,88,81,71,60,60,22,23,24,29,28,29,26,89,81,74,65,65,71.038,0.41200000000000003,1350,1255,1160,1065,29,26,24,22,Required,Required,Recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,No
1928,University of St Thomas,Texas,Houston,False,True,3.5460000000000003,0.421,87.3,538,520,1058,623,620,1243,1150,92,87,80,70,70,20,18,20,25,25,26,23,92,87,80,70,70,74.944,0.511,1243,1150,1058,966,26,23,20,17,Required,Required,Neither required nor recommended,Recommended,Recommended,Required,Yes,Yes,No
1929,University of the Cumberlands,Kentucky,Williamsburg,False,True,3.33,0.545,80,460,470,930,580,560,1140,1040,87,80,70,58,58,17,17,18,24,23,24,21,87,80,70,58,58,65.274,0.541,1140,1035,930,825,24,21,18,15,Required,Required,Considered but not required,Recommended,Considered but not required,Neither required nor recommended,Yes,Yes,No
1930,University of the District of Columbia,District Of Columbia,Washington,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.274,0.541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1931,University of the Incarnate Word,Texas,San Antonio,False,True,3.502,0.53,93.8,480,470,950,590,570,1160,1060,96,94,90,84,84,16,16,17,24,23,23,20,96,94,90,84,84,65.484,0.5690000000000001,1160,1055,950,845,23,20,17,14,Required,Required,Recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,Yes
1932,University of the Ozarks,Arkansas,Clarksville,False,True,3.392,0.524,50.2,450,420,870,510,540,1050,960,63,50,37,26,26,16,17,18,23,23,23,20,65,50,40,30,30,66.303,0.434,1050,960,870,780,23,20,18,16,Considered but not required,Required,Recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,No
1933,University of the Pacific,California,Stockton,False,True,3.4859999999999998,0.529,65.6,550,570,1120,660,700,1360,1240,77,66,53,40,40,22,22,23,33,30,31,27,77,66,53,40,40,78.834,0.406,1360,1240,1120,1000,31,27,23,19,Required,Required,Neither required nor recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,Yes
1934,University of the Sciences,Pennsylvania,Philadelphia,False,True,3.572,0.594,71,560,560,1120,640,670,1310,1220,81,71,59,46,46,22,22,23,29,28,28,25,82,71,62,51,51,82.2,0.545,1310,1215,1120,1025,28,25,23,21,Required,Required,Neither required nor recommended,Required,Required,Neither required nor recommended,Yes,Yes,No
1935,University of the Southwest,New Mexico,Hobbs,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.2,0.545,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1936,University of the West,California,Rosemead,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.2,0.545,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1937,University of Toledo,Ohio,Toledo,True,False,N/A,N/A,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.2,0.545,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1938,University of Tulsa,Oklahoma,Tulsa,False,True,3.662,0.58,35.8,550,540,1090,670,690,1360,1230,49,36,25,16,16,23,23,24,34,30,31,27,51,36,26,18,18,87.915,0.5650000000000001,1360,1225,1090,955,31,27,24,21,Required,Required,Recommended,Recommended,Required,Recommended,Yes,Yes,No
1939,University of Utah,Utah,Salt Lake City,False,True,3.557,0.446,62.1,573,570,1143,680,700,1380,1260,74,62,49,36,36,22,22,22,31,28,29,25,75,62,51,40,40,69.592,0.401,1380,1261,1143,1025,29,25,22,19,Required,Required,Neither required nor recommended,Considered but not required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
1940,University of Vermont,Vermont,Burlington,False,True,3.684,0.634,67.3,600,580,1180,680,680,1360,1270,78,67,54,41,41,25,25,26,34,29,31,28,79,67,57,46,46,80.908,0.542,1360,1270,1180,1090,31,28,26,24,Required,Required,Considered but not required,Required,Required,Neither required nor recommended,Yes,No,No
1941,University of Virginia-Main Campus,Virginia,Charlottesville,False,True,3.842,0.584,23.9,670,670,1340,740,780,1520,1430,35,24,16,10,10,31,28,30,35,34,34,32,35,24,16,10,10,92.576,0.592,1520,1430,1340,1250,34,32,30,28,Required,Recommended,Recommended,Required,Required,Neither required nor recommended,Yes,Yes,No
1942,University of Washington-Bothell Campus,Washington,Bothell,False,True,3.274,0.499,74.1,500,520,1020,620,640,1260,1140,83,74,63,50,50,17,19,19,26,28,28,23,84,74,64,53,53,64.3217819771301,11.337256629492114,1260,1140,1020,900,28,23,19,15,Required,Required,Neither required nor recommended,Required,Neither required nor recommended,Recommended,Yes,Yes,No
1943,University of Washington-Seattle Campus,Washington,Seattle,False,True,3.734,0.528,51.8,600,620,1220,700,770,1470,1350,65,52,39,27,27,25,26,27,35,33,33,30,65,52,39,27,27,94.111,0.558,1470,1345,1220,1095,33,30,27,24,Required,Required,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
1944,University of Washington-Tacoma Campus,Washington,Tacoma,False,True,3.273,0.495,87.3,490,490,980,600,590,1190,1090,92,87,80,70,70,15,17,16,22,24,24,20,92,87,80,70,70,62.59968919288643,11.002196141781798,1190,1085,980,875,24,20,16,12,Required,Required,Neither required nor recommended,Required,Neither required nor recommended,Recommended,Yes,Yes,No
1945,University of West Alabama,Alabama,Livingston,False,True,3.151,0.55,34.9,440,420,860,520,500,1020,940,48,35,24,16,16,16,18,18,21,24,22,20,48,35,24,16,16,62.37454663587964,12.542953835403324,1020,940,860,780,22,20,18,16,Required,Recommended,Neither required nor recommended,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
1946,University of West Georgia,Georgia,Carrollton,False,True,3.182,0.539,59.3,490,430,920,570,510,1080,1000,71,59,46,33,33,17,17,18,22,21,22,20,71,59,46,33,33,64.14774081796739,12.955840416201733,1080,1000,920,840,22,20,18,16,Required,Required,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
